exchange;quoteType;value;short_name;long_name;isin;sector;div_yield
NYQ;EQUITY;V;Visa Inc.;Visa;US92826C8394;Financial Services;0.0078
MIL;EQUITY;ENI.MI;ENI;Eni;IT0003132476;Energy;0.0648
LSE;EQUITY;SHEL.L;SHELL PLC ORD EUR0.07;Shell plc;GB00BP6MXD84;Energy;0.038599998
PAR;EQUITY;ALO.PA;ALSTOM;Alstom;FR0010220475;Industrials;0.0108
PAR;EQUITY;AIR.PA;AIRBUS SE;Airbus;NL0000235190;Industrials;0.0147
NYQ;EQUITY;NOC;Northrop Grumman Corporation;Northrop Grumman;US6668071029;Industrials;0.0155
NYQ;EQUITY;RTX;Raytheon Technologies Corporati;Raytheon Technologies;US75513E1010;Industrials;0.024400001
AMS;EQUITY;AGN.AS;AEGON;Aegon;NL0000303709;Financial Services;0.059699997
MIL;EQUITY;BAMI.MI;BANCO BPM;Banco BPM;IT0005218380;Financial Services;0.0619
LSE;EQUITY;GSK.L;GSK PLC ORD 31 1/4P;GSK;GB00BN7SWP63;Healthcare;0.038599998
LSE;EQUITY;TSCO.L;TESCO PLC ORD 6 1/3P;Tesco;GB00BLGZ9862;Consumer Defensive;0.0385
EBS;EQUITY;BARN.SW;BARRY CALLEBAUT N;Barry Callebaut;CH0009002962;Consumer Defensive;0.0143
NYQ;EQUITY;K;Kellogg Company;Kellogg Company;US4878361082;Consumer Defensive;0.0335
EBS;EQUITY;LISP.SW;LINDT PS;Chocoladefabriken Lindt & Sprüngli;CH0010570767;Consumer Defensive;0.0116
NYQ;EQUITY;AEM;Agnico Eagle Mines Limited;Agnico Eagle Mines;CA0084741085;Basic Materials;0.0276
NYQ;EQUITY;BAC;Bank of America Corporation;Bank of America;US0605051046;Financial Services;0.0318
NYQ;EQUITY;C;Citigroup, Inc.;Citigroup;US1729674242;Financial Services;0.044
NYQ;EQUITY;JPM;JP Morgan Chase & Co.;JPMorgan Chase & Co.;US46625H1005;Financial Services;0.0293
NMS;EQUITY;INTC;Intel Corporation;Intel;US4581401001;Technology;0.0163
NMS;EQUITY;COIN;Coinbase Global, Inc.;Coinbase Global;US19260Q1076;Financial Services;0.0
NMS;EQUITY;MSTR;MicroStrategy Incorporated;MicroStrategy;US5949724083;Technology;0.0
GER;EQUITY;MUV2.DE;MUENCH.RUECKVERS.VNA O.N.;Münchener Rüeck Ges in Mchn;DE0008430026;Financial Services;0.0343
EBS;EQUITY;STMN.SW;STRAUMANN N;Straumann;CH1175448666;Healthcare;0.0056
EBS;EQUITY;DOKA.SW;dormakaba N;dormakaba;CH0011795959;Industrials;0.028099999
EBS;EQUITY;OERL.SW;OC OERLIKON N;OC Oerlikon;CH0000816824;Industrials;0.0719
GER;EQUITY;PUM.DE;PUMA SE;PUMA;DE0006969603;Consumer Cyclical;0.015800001
GER;EQUITY;BAS.DE;BASF SE;BASF;DE000BASF111;Basic Materials;0.0726
EBS;EQUITY;CLN.SW;CLARIANT N;Clariant;CH0012142631;Basic Materials;0.0279
MIL;EQUITY;MONC.MI;MONCLER;Moncler;IT0004965148;Consumer Cyclical;0.0166
GER;EQUITY;BMW.DE;BAY.MOTOREN WERKE AG ST;BMW;DE0005190003;Consumer Cyclical;0.079
GER;EQUITY;PAH3.DE;PORSCHE AUTOM HLDG VZO;Porsche Automobil;DE000PAH0038;Consumer Cyclical;0.0502
NMS;EQUITY;QCOM;QUALCOMM Incorporated;Qualcomm;US7475251036;Technology;0.0294
NYQ;EQUITY;CRM;Salesforce, Inc.;Salesforce;US79466L3024;Technology;0.0
NMS;EQUITY;ADBE;Adobe Inc.;Adobe;US00724F1012;Technology;0.0
LSE;EQUITY;AZN.L;ASTRAZENECA PLC ORD SHS $0.25;AstraZeneca;GB0009895292;Healthcare;0.0201

