date;MSFT
2007-01-03;21.573043823242188
2007-01-04;21.536914825439453
2007-01-05;21.414093017578125
2007-01-08;21.623615264892578
2007-01-09;21.645282745361328
2007-01-10;21.42854881286621
2007-01-11;22.1799259185791
2007-01-12;22.54837989807129
2007-01-16;22.512256622314453
2007-01-17;22.468904495239258
2007-01-18;22.39665985107422
2007-01-19;22.476137161254883
2007-01-22;22.194374084472656
2007-01-23;22.208818435668945
2007-01-24;22.461685180664062
2007-01-25;21.999296188354492
2007-01-26;22.107669830322266
2007-01-29;22.057086944580078
2007-01-30;22.02097511291504
2007-01-31;22.295516967773438
2007-02-01;22.07876968383789
2007-02-02;21.811458587646484
2007-02-05;21.39242172241211
2007-02-06;21.320175170898438
2007-02-07;21.219024658203125
2007-02-08;21.139556884765625
2007-02-09;20.9372615814209
2007-02-12;20.908376693725586
2007-02-13;21.031618118286133
2007-02-14;21.314355850219727
2007-02-15;21.357852935791016
2007-02-16;20.83586883544922
2007-02-20;20.901119232177734
2007-02-21;21.27811050415039
2007-02-22;21.307096481323242
2007-02-23;20.951868057250977
2007-02-26;21.075115203857422
2007-02-27;20.205137252807617
2007-02-28;20.422630310058594
2007-03-01;20.3646297454834
2007-03-02;20.12538719177246
2007-03-05;19.97314453125
2007-03-06;20.1761417388916
2007-03-07;20.016645431518555
2007-03-08;19.806394577026367
2007-03-09;19.784645080566406
2007-03-12;19.893400192260742
2007-03-13;19.37140464782715
2007-03-14;19.864395141601562
2007-03-15;19.77739906311035
2007-03-16;19.81364631652832
2007-03-19;20.1761417388916
2007-03-20;20.18338394165039
2007-03-21;20.67636489868164
2007-03-22;20.495128631591797
2007-03-23;20.313879013061523
2007-03-26;20.45887565612793
2007-03-27;20.09638786315918
2007-03-28;20.038393020629883
2007-03-29;20.11814308166504
2007-03-30;20.205137252807617
2007-04-02;20.11089324951172
2007-04-03;20.205137252807617
2007-04-04;20.661867141723633
2007-04-05;20.698118209838867
2007-04-09;20.712621688842773
2007-04-10;20.589372634887695
2007-04-11;20.37913703918457
2007-04-12;20.690872192382812
2007-04-13;20.741622924804688
2007-04-16;20.828615188598633
2007-04-17;20.915611267089844
2007-04-18;20.734376907348633
2007-04-19;20.79961585998535
2007-04-20;21.038860321044922
2007-04-23;20.86487579345703
2007-04-24;20.872116088867188
2007-04-25;21.01711082458496
2007-04-26;21.09685516357422
2007-04-27;21.836336135864258
2007-04-30;21.705848693847656
2007-05-01;22.03933334350586
2007-05-02;22.191572189331055
2007-05-03;22.452566146850586
2007-05-04;22.155323028564453
2007-05-07;22.264068603515625
2007-05-08;22.293073654174805
2007-05-09;22.314828872680664
2007-05-10;22.169824600219727
2007-05-11;22.39456558227539
2007-05-14;22.452566146850586
2007-05-15;22.47437858581543
2007-05-16;22.598031997680664
2007-05-17;22.532569885253906
2007-05-18;22.423473358154297
2007-05-21;22.583486557006836
2007-05-22;22.321643829345703
2007-05-23;22.24164581298828
2007-05-24;21.943443298339844
2007-05-25;22.168916702270508
2007-05-29;22.394378662109375
2007-05-30;22.62713623046875
2007-05-31;22.321643829345703
2007-06-01;22.248920440673828
2007-06-04;22.34346580505371
2007-06-05;22.24164581298828
2007-06-06;22.030715942382812
2007-06-07;21.543411254882812
2007-06-08;21.856164932250977
2007-06-11;21.834341049194336
2007-06-12;21.710689544677734
2007-06-13;22.10344696044922
2007-06-14;22.1980037689209
2007-06-15;22.176189422607422
2007-06-18;22.19072723388672
2007-06-19;22.15436553955078
2007-06-20;21.827064514160156
2007-06-21;21.97980499267578
2007-06-22;21.448850631713867
2007-06-25;21.448850631713867
2007-06-26;21.470684051513672
2007-06-27;21.72524070739746
2007-06-28;21.696149826049805
2007-06-29;21.434307098388672
2007-07-02;21.630685806274414
2007-07-03;21.834341049194336
2007-07-05;21.81252098083496
2007-07-06;21.797977447509766
2007-07-09;21.72524070739746
2007-07-10;21.332489013671875
2007-07-11;21.448850631713867
2007-07-12;21.870710372924805
2007-07-13;21.688871383666992
2007-07-16;21.84161949157715
2007-07-17;22.38711166381836
2007-07-18;22.488929748535156
2007-07-19;22.918060302734375
2007-07-20;22.663488388061523
2007-07-23;22.685314178466797
2007-07-24;22.401657104492188
2007-07-25;22.336191177368164
2007-07-26;21.805253982543945
2007-07-27;21.376117706298828
2007-07-30;21.383398056030273
2007-07-31;21.085193634033203
2007-08-01;21.31066131591797
