date;AAPL
2007-01-03;2.5472757816314697
2007-01-04;2.6038150787353516
2007-01-05;2.5852725505828857
2007-01-08;2.598039388656616
2007-01-09;2.8138580322265625
2007-01-10;2.9485175609588623
2007-01-11;2.912040948867798
2007-01-12;2.8761720657348633
2007-01-16;2.951556921005249
2007-01-17;2.886202096939087
2007-01-18;2.707467794418335
2007-01-19;2.690141201019287
2007-01-22;2.638162851333618
2007-01-23;2.6050302982330322
2007-01-24;2.6354291439056396
2007-01-25;2.621748208999634
2007-01-26;2.595303773880005
2007-01-29;2.61232590675354
2007-01-30;2.600470542907715
2007-01-31;2.605942726135254
2007-02-01;2.5758492946624756
2007-02-02;2.57615327835083
2007-02-05;2.5515313148498535
2007-02-06;2.5579142570495605
2007-02-07;2.618709087371826
2007-02-08;2.6196205615997314
2007-02-09;2.531165361404419
2007-02-12;2.5801050662994385
2007-02-13;2.5746328830718994
2007-02-14;2.5928711891174316
2007-02-15;2.590135335922241
2007-02-16;2.578584671020508
2007-02-20;2.611109972000122
2007-02-21;2.7114198207855225
2007-02-22;2.7208430767059326
2007-02-23;2.707467794418335
2007-02-26;2.6904454231262207
2007-02-27;2.5512278079986572
2007-02-28;2.571897029876709
2007-03-01;2.6463704109191895
2007-03-02;2.596214532852173
2007-03-05;2.6238763332366943
2007-03-06;2.6807188987731934
2007-03-07;2.6664321422576904
2007-03-08;2.674943685531616
2007-03-09;2.6740317344665527
2007-03-12;2.731785774230957
2007-03-13;2.6871020793914795
2007-03-14;2.7357380390167236
2007-03-15;2.7226665019989014
2007-03-16;2.7232747077941895
2007-03-19;2.7700870037078857
2007-03-20;2.7807254791259766
2007-03-21;2.853374481201172
2007-03-22;2.856109857559204
2007-03-23;2.8427350521087646
2007-03-26;2.913560390472412
2007-03-27;2.9017059803009033
2007-03-28;2.834223508834839
2007-03-29;2.849726915359497
2007-03-30;2.824193000793457
2007-04-02;2.846686601638794
2007-04-03;2.8725247383117676
2007-04-04;2.8655331134796143
2007-04-05;2.8779964447021484
2007-04-09;2.846686601638794
2007-04-10;2.864924669265747
2007-04-11;2.8144662380218506
2007-04-12;2.80230712890625
2007-04-13;2.743032217025757
2007-04-16;2.779205322265625
2007-04-17;2.7463772296905518
2007-04-18;2.747896432876587
2007-04-19;2.7439448833465576
2007-04-20;2.765223503112793
2007-04-23;2.8424317836761475
2007-04-24;2.834223508834839
2007-04-25;2.8983616828918457
2007-04-26;3.0044476985931396
2007-04-27;3.037276029586792
2007-04-30;3.0336296558380127
2007-05-01;3.0235981941223145
2007-05-02;3.0515635013580322
2007-05-03;3.0518667697906494
2007-05-04;3.0643293857574463
2007-05-07;3.158865213394165
2007-05-08;3.1935181617736816
2007-05-09;3.248840570449829
2007-05-10;3.2628228664398193
2007-05-11;3.3053781986236572
2007-05-14;3.3242244720458984
2007-05-15;3.268294095993042
2007-05-16;3.2628228664398193
2007-05-17;3.3266570568084717
2007-05-18;3.344287872314453
2007-05-21;3.403865098953247
2007-05-22;3.451284170150757
2007-05-23;3.4315268993377686
2007-05-24;3.3646531105041504
2007-05-25;3.453716278076172
2007-05-29;3.4759068489074707
2007-05-30;3.610262155532837
2007-05-31;3.6838223934173584
2007-06-01;3.5990142822265625
2007-06-04;3.688077688217163
2007-06-05;3.728811025619507
