date;RACE
2015-10-21;51.57948303222656
2015-10-22;53.220645904541016
2015-10-23;52.8736572265625
2015-10-26;51.59823989868164
2015-10-27;50.500999450683594
2015-10-28;48.644134521484375
2015-10-29;47.84700012207031
2015-10-30;47.29369354248047
2015-11-02;49.77888870239258
2015-11-03;49.12242889404297
2015-11-04;50.11650085449219
2015-11-05;48.5222282409668
2015-11-06;49.169315338134766
2015-11-09;49.89142608642578
2015-11-10;50.64167785644531
2015-11-11;50.960533142089844
2015-11-12;50.754207611083984
2015-11-13;48.203372955322266
2015-11-16;46.43091583251953
2015-11-17;45.93387222290039
2015-11-18;44.339595794677734
2015-11-19;44.63969421386719
2015-11-20;45.089847564697266
2015-11-23;43.13920593261719
2015-11-24;43.401790618896484
2015-11-25;42.820343017578125
2015-11-27;43.19546890258789
2015-11-30;43.467430114746094
2015-12-01;44.67720413208008
2015-12-02;44.27395248413086
2015-12-03;44.13328170776367
2015-12-04;45.53061294555664
2015-12-07;45.00543975830078
2015-12-08;44.658447265625
2015-12-09;44.78036880493164
2015-12-10;45.93387222290039
2015-12-11;45.75568771362305
2015-12-14;44.0113639831543
2015-12-15;44.59280776977539
2015-12-16;45.483726501464844
2015-12-17;44.52716064453125
2015-12-18;43.4768180847168
2015-12-21;44.461509704589844
2015-12-22;43.720645904541016
2015-12-23;44.12390899658203
2015-12-24;43.84255599975586
2015-12-28;43.542457580566406
2015-12-29;44.94916915893555
2015-12-30;45.39931869506836
2015-12-31;45.014827728271484
2016-01-04;44.44275665283203
2016-01-05;45.474342346191406
2016-01-06;44.14265823364258
2016-01-07;43.748779296875
2016-01-08;40.42893600463867
2016-01-11;40.68214797973633
2016-01-12;40.944732666015625
2016-01-13;40.016300201416016
2016-01-14;39.37858963012695
2016-01-15;37.531105041503906
2016-01-19;39.078487396240234
2016-01-20;37.4185676574707
2016-01-21;38.01876449584961
2016-01-22;39.24729919433594
2016-01-25;37.7374267578125
2016-01-26;38.872169494628906
2016-01-27;38.08441162109375
2016-01-28;37.47483444213867
2016-01-29;37.29664993286133
2016-02-01;37.44670486450195
2016-02-02;32.80454635620117
2016-02-03;34.7833251953125
2016-02-04;36.46200942993164
2016-02-05;35.355384826660156
2016-02-08;33.71422576904297
2016-02-09;31.847984313964844
2016-02-10;31.200897216796875
2016-02-11;30.00988006591797
2016-02-12;32.02616882324219
2016-02-16;33.43288803100586
2016-02-17;36.66831970214844
2016-02-18;36.34946823120117
